K,P,e
10926250,135150-06_10926250_0200,1
10926250,135150-17_10926250_0800,1
10926338,123680-18_10926338_0100,1
10926594,111120-07_10926594_0300,1
10926763,111820-02_10926763_0100,1
10926924,124600-12_10926924_0100,1
10927020,123510-02_10927020_1000,1
10927209,124600-04_10927209_0100,1
10927209,124600-06_10863187_0600,1
10927241,100680-10_10927241_0110,1
10927247,135120-16_10927247_0200,1
10927249,135120-07_10927249_0100,1
10927280,135120-08_10927280_0100,1
10927284,100450-26_10927284_1261,1
10927550,100600-01_10927550_0110,1
10928022,136040-18_10928022_0100,1
10928023,136040-18_10928023_0100,1
10928109,100710-20_10928109_0120,1
10928117,124270-01_10928117_0100,1
10928130,100710-20_10928130_0310,1
10928131,100600-01_10928131_0210,1
10928189,124930-05_10928189_0500,1
10928450,123530-05_10928450_0800,1
10928472,135100-04_10928472_0100,1
10928540,135150-15_10928540_0200,1
10928540,135150-17_10928540_0800,1
10928541,135150-10_10928541_0100,1
10928545,135150-10_10928545_0100,1
10928546,135150-10_10928546_0100,1
10928626,135100-08_10928626_0200,1
10928626,135100-21_10928626_0100,1
10928891,100600-01_10928891_0110,1
10928892,100660-01_10928892_0110,1
10928962,124860-05_10928962_0200,1
10929207,111350-17_10929207_6710,1
10929207,111350-14_10929207_6410,1
10929207,111350-16_10929207_6610,1
10929309,135130-22_10929309_0400,1
10929465,135150-07_10929465_0100,1
10929473,135150-07_10929473_0100,1
10929477,135150-07_10929477_0100,1
10929479,123020-03_10929479_0700,1
10929601,134130-08_10929601_1500,1
10929601,134130-40_10929601_1300,1
10929612,135100-03_10929612_0100,1
10929668,135100-03_10929668_0100,1
10929669,135100-03_10929669_0100,1
10929941,100600-01_10929941_0110,1
10931353,135090-15_10931353_0100,1
10931354,135090-15_10931354_0100,1
10931438,111350-16_10931438_6609,1
10931524,135120-07_10931524_0100,1
10931526,135120-15_10931526_0200,1
10931527,111680-01_10014994_0200,1
10931527,111680-01_10014994_0300,1
10931687,135120-08_10931687_0100,1
10931689,135120-08_10931689_0100,1
10932042,123020-73_10932042_0700,1
10932088,111820-02_10932088_0100,1
10932094,123600-01_10228315_0300,1
10932094,123600-01_10228315_0301,1
10932100,111820-02_10932100_0100,1
10932828,135100-21_10932828_0100,1
10932973,123020-30_10932973_1100,1
10932976,123530-05_10932976_0800,1
10933001,136040-18_10933001_0100,1
10933002,136040-18_10933002_0100,1
10933118,135100-03_10933118_0100,1
10933119,135100-03_10933119_0100,1
10933162,100680-10_10933162_0110,1
10933209,111820-02_10237353_0100,1
10933209,111820-02_10926763_0100,1
10933209,111820-02_10932088_0100,1
10933209,111820-02_10932100_0100,1
10933222,135130-25_10933222_0400,1
10933240,111990-01_10933240_0100,1
10933328,111990-01_10933328_0300,1
10933328,111990-02_10933328_0400,1
10933382,111190-03_10933382_0300,1
10933405,123530-05_10933405_0800,1
10933552,135150-12_10933552_0100,1
10933615,111350-16_10933615_6610,1
10933615,111350-17_10933615_6710,1
10933615,111400-03_10933615_4309,1
10933616,111350-14_10933616_6410,1
10933616,111350-16_10933616_6610,1
10933616,111350-17_10933616_6710,1
10933616,111400-03_10933616_4309,1
10933617,111350-16_10933617_6610,1
10933617,111350-17_10933617_6710,1
10933617,111400-03_10933617_4309,1
10933714,123530-01_10933714_0100,1
10933743,123080-06_10933743_0003,1
10933743,123080-12_10933743_0100,1
10933769,124260-01_10933769_0100,1
10933769,124260-01_10933769_0200,1
10933792,123680-01_10933792_0200,1
10933820,111350-16_10933820_6610,1
10933848,100600-01_10933848_0110,1
10933892,123080-12_10933892_0200,1
10933892,123080-06_10933892_0300,1
10933893,123080-12_10933743_0100,1
10933893,123080-06_10933743_0003,1
10933896,123580-01_10933896_0100,1
10933907,100470-06_10933907_0110,1
10933957,111260-02_10933957_0500,1
10933957,111260-01_10933957_0300,1
10933957,111260-02_10933957_0600,1
10933957,111230-06_10933957_0100,1
10933957,111230-06_10933957_0200,1
10934304,135150-07_10934304_0100,1
10934390,111190-01_10934390_0100,1
10934390,111190-01_10934390_0101,1
10934390,111190-01_10934390_0102,1
10934414,100630-30_10934414_0110,1
10934415,100630-30_10934415_0110,1
10934610,111230-06_10934610_0200,1
10934610,111230-06_10934610_0300,1
10934610,111260-01_10934610_0500,1
10934613,111030-07_10934613_1000,1
10934623,100660-01_10934623_0110,1
10934624,100600-01_10934624_0110,1
10934834,124270-01_10934834_0100,1
10935765,100680-10_10935765_0110,1
10935951,111500-01_10935951_0100,1
10935967,111230-05_10935967_0100,1
10936031,124270-02_10936031_0100,1
10936061,111230-06_10936061_0200,1
10936061,111230-06_10936061_0300,1
10936061,111230-16_10936061_0100,1
10936061,111230-16_10936061_0400,1
10936188,111190-01_10936188_0100,1
10936212,123530-05_10936212_0800,1
10936252,100680-10_10936252_0110,1
10936375,100630-20_10936375_0110,1
10936376,100600-01_10936376_0210,1
10936376,100630-10_10936376_0110,1
10936378,100630-30_10936378_0110,1
10936412,124930-05_10936412_0500,1
10936571,134130-08_10936571_1500,1
10936571,134130-40_10936571_1300,1
10936605,111350-16_10936605_6610,1
10936737,135100-21_10936737_0100,1
10936737,135100-21_10936737_0200,1
10936847,123350-80_10936847_0100,1
10936914,123590-01_10936914_0200,1
10936914,123590-08_10936914_0100,1
10936929,100660-01_10936929_0110,1
10936951,100710-20_10936951_0110,1
10937283,123470-31_10937283_0100,1
10937401,110980-01_10937401_0101,1
10937401,110980-01_10937401_0102,1
10937401,110980-01_10937401_0100,1
10937407,111190-01_10937407_0100,1
10938051,123520-17_10938051_0100,1
10938590,111190-01_10938590_0100,1
10938590,111190-01_10938590_0101,1
10938590,111190-01_10938590_0102,1
10938777,110980-01_10938777_0100,1
10938777,110980-01_10938777_0101,1
10938777,110980-01_10938777_0102,1
10938777,110980-01_10938777_0103,1
10938777,110980-02_10938777_0200,1
10938777,110980-02_10938777_0201,1
10938777,110980-02_10938777_0202,1
10938778,110980-02_10938778_0201,1
10938778,110980-02_10938778_0200,1
10938778,110980-01_10938778_0103,1
10938778,110980-01_10938778_0101,1
10938778,110980-01_10938778_0100,1
10938778,110980-01_10938778_0102,1
10939424,110980-01_10939424_0100,1
10939424,110980-01_10939424_0101,1
10939424,110980-01_10939424_0102,1
10939424,110980-02_10939424_0200,1
10939424,110980-02_10939424_0201,1
10939960,123530-03_10939960_0200,1
10940125,123530-05_10940125_0100,1
10940373,110980-02_10940373_0700,1
10940373,110980-02_10940373_0701,1
10940639,110980-02_10940639_0202,1
10940639,110980-02_10940639_0201,1
10940639,110980-02_10940639_0200,1
10940639,110980-01_10940639_0102,1
10940639,110980-01_10940639_0101,1
10940639,110980-01_10940639_0100,1
10940639,110980-01_10940639_0103,1
10940896,110980-01_10940896_0700,1
10940896,110980-01_10940896_0701,1
10940896,110980-01_10940896_0702,1
10940896,110980-01_10940896_0704,1
10941375,110980-01_10941375_0101,1
10941375,110980-01_10941375_0102,1
10941375,110980-01_10941375_0103,1
10941375,110980-02_10941375_0201,1
10941932,110980-01_10941932_0100,1
10941932,110980-01_10941932_0101,1
10941969,123530-05_10941969_0100,1
10942238,110980-01_10942238_0100,1
10942238,110980-01_10942238_0101,1
10942238,110980-01_10942238_0102,1
10942238,110980-01_10942238_0103,1
10942238,110980-02_10942238_0200,1
10942238,110980-02_10942238_0201,1
10942238,110980-02_10942238_0202,1
10942406,110980-01_10942406_0100,1
10942406,110980-01_10942406_0101,1
10942406,110980-01_10942406_0102,1
10942406,110980-02_10942406_0200,1
10942514,123470-31_10942514_0100,1
10942643,123530-05_10942643_0101,1
10942643,123530-05_10942643_0100,1
10943778,111190-01_10943778_0100,1
10943778,111190-01_10943778_0101,1
10943778,111190-01_10943778_0102,1
10945253,123470-31_10945253_0100,1
10947846,135100-21_10947846_0100,1
10948048,123680-14_10948048_0100,1
10948574,123580-02_10948574_0200,1
10948639,123580-01_10948639_0100,1
10948854,100600-01_10948854_0110,1
10949040,100450-26_10949040_1261,1
10949083,100680-10_10949083_0110,1
10949086,100680-10_10949086_0110,1
10949376,111230-06_10949376_1111,1
10949401,123530-05_10949401_0102,1
10949401,123530-05_10949401_0100,1
10949401,123530-05_10949401_0101,1
10950502,123020-24_10950502_0700,1
10950750,123580-01_10950750_0100,1
10951590,111580-07_10951590_0200,1
10951890,111190-03_10951890_0300,1
10951922,136060-11_10951922_0100,1
10951980,134130-01_10951980_1300,1
10951981,134130-01_10951981_1500,1
10952256,135120-01_10952256_0100,1
10952257,135120-01_10952257_0100,1
10952258,135120-01_10952258_0100,1
10952281,135120-07_10952281_0100,1
10952283,135120-07_10952283_0100,1
10952284,135120-07_10952284_0100,1
10952285,135120-01_10952285_0100,1
10952311,100680-10_10952311_0110,1
10952312,100680-10_10952312_0110,1
10952365,123680-08_10952365_0100,1
10952911,135120-15_10952911_0200,1
10952912,135120-07_10952912_0100,1
10953160,124600-04_10953160_0100,1
10953204,111990-01_10953204_0300,1
10953204,111990-02_10953204_0400,1
10953493,124270-02_10953493_0100,1
10953806,110980-02_10953806_0202,1
10953806,110980-02_10953806_0201,1
10953806,110980-02_10953806_0200,1
10953806,110980-01_10953806_0103,1
10953806,110980-01_10953806_0102,1
10953806,110980-01_10953806_0101,1
10953806,110980-01_10953806_0100,1
10953884,123580-01_10953884_0100,1
10954523,135120-10_10954523_0100,1
10954664,134130-05_10954664_1500,1
10954750,123580-01_10954750_0100,1
10954751,123530-01_10954751_0100,1
10954799,111120-07_10954799_0300,1
10954824,134130-05_10954824_1500,1
10954861,111120-07_10954861_0300,1
10954943,124270-01_10954943_0100,1
10954945,124270-01_10954945_0100,1
10954946,123080-12_10954946_0100,1
10955228,100610-10_10955228_0110,1
10955228,100700-10_10955228_0210,1
10955317,111260-01_10955317_0100,1
10955317,111260-02_10955317_0600,1
10955317,111260-03_10955317_0200,1
10955317,111260-11_10955317_0400,1
10955653,134130-08_10955653_1500,1
10955653,134130-40_10955653_1300,1
10955677,134130-08_10955677_1500,1
10955677,134130-40_10955677_1300,1
10955721,124270-02_10955721_0100,1
10955752,135150-02_10955752_0100,1
10955973,123680-20_10955973_0200,1
10956034,111190-03_10956034_0300,1
10956034,111190-01_10956034_0102,1
10956034,111190-01_10956034_0101,1
10956034,111190-01_10956034_0100,1
10956077,100450-26_10956077_1261,1
10956277,111500-01_10082235_0200,1
10956457,123510-02_10956457_1000,1
10956764,100610-50_10956764_0110,1
10956764,100610-50_10956764_0120,1
10956764,100610-50_10956764_0130,1
10956764,100610-50_10956764_0140,1
10956764,100700-10_10956764_0210,1
10956768,100660-01_10956768_0110,1
10956768,100660-01_10956768_0120,1
10956782,100650-01_10956782_0110,1
10956893,123510-03_10956893_1000,1
10957089,111230-06_10957089_0300,1
10957323,134130-08_10957323_1500,1
10957323,134130-40_10957323_1300,1
10957378,123410-15_10957378_0100,1
10957378,123410-15_10957378_0200,1
10957381,123580-01_10957381_0100,1
10957421,123590-01_10957421_0200,1
10957421,123590-08_10957421_0100,1
10957683,111470-05_10957683_0100,1
10957723,123510-03_10957723_1000,1
10958104,110980-01_10958104_0700,1
10958104,110980-01_10958104_0701,1
10958289,111120-07_10958289_0300,1
10958586,100450-26_10958586_1261,1
10958703,134130-40_10958703_1300,1
10958703,134130-08_10958703_1500,1
10958750,123580-01_10958750_0100,1
10959293,135100-21_10959293_0100,1
10960180,134130-05_10960180_1500,1
10960756,100680-10_10960756_0110,1
10961036,123520-07_10961036_0101,1
10961036,123520-07_10961036_0102,1
10961107,110980-01_10961107_0100,1
10961107,110980-01_10961107_0101,1
10961107,110980-01_10961107_0800,1
10961107,110980-03_10961107_0800,1
10961214,123580-02_10961214_0100,1
10961214,123580-02_10961214_0200,1
10961367,135120-16_10961367_0200,1
10961648,110980-01_10961648_0700,1
10961648,110980-01_10961648_0701,1
10961648,110980-01_10961648_0702,1
10961648,110980-01_10961648_0703,1
10961648,110980-01_10961648_0704,1
10961648,110980-02_10961648_0200,1
10961648,110980-02_10961648_0201,1
10961690,135130-38_10961690_0200,1
10961769,134130-35_10961769_1300,1
10962223,123020-24_10962223_0700,1
10962482,124270-01_10962482_0100,1
10962482,111040-01_10962482_0200,1
10962625,111990-01_10962625_0200,1
10962818,111990-01_10962818_0100,1
10962818,111990-01_10962818_0200,1
10962819,111990-01_10962819_0200,1
10962823,100600-01_10962823_0110,1
10962848,124600-10_10962981_0100,1
10962859,123580-01_10962859_0100,1
10962860,111990-01_10962860_0200,1
10962860,111990-01_10962860_0300,1
10962861,111990-01_10962861_0200,1
10962861,111990-01_10962861_0300,1
10962862,111990-01_10962862_0300,1
10962864,111990-01_10962864_0300,1
10962876,111990-01_10962876_0300,1
10962909,123580-02_10962909_0100,1
10962926,111990-01_10962926_0200,1
10962926,111990-01_10962926_0300,1
10962929,111990-01_10962929_0200,1
10962945,124600-12_10962945_0200,1
10962981,124600-10_10962981_0100,1
10963003,111990-01_10963003_0200,1
10963003,111990-01_10963003_0300,1
10963005,111990-01_10963005_0200,1
10963006,111990-01_10963006_0200,1
10963007,111990-01_10963007_0200,1
10963007,111990-01_10963007_0300,1
10963008,111990-01_10963008_0200,1
10963008,111990-01_10963008_0300,1
10963010,111990-01_10963010_0300,1
10963011,111990-01_10963011_0300,1
10963012,111990-01_10963012_0200,1
10963013,111990-01_10963013_0300,1
10963013,111990-01_10963013_0200,1
10963014,111990-01_10963014_0200,1
10963014,111990-01_10963014_0300,1
10963015,111990-01_10963015_0300,1
10963117,111700-09_10963117_0100,1
10963393,124270-02_10963393_0100,1
10963394,124270-01_10963394_0100,1
10963482,123580-01_10963482_0100,1
10963483,123580-01_10963483_0100,1
10963592,135150-10_10963592_0100,1
10963671,111230-06_10963671_0300,1
10963671,111260-01_10963671_0100,1
10963683,123580-02_10963683_0100,1
10963700,123080-06_10963700_0200,1
10963700,123080-12_10963700_0100,1
10963780,111260-01_10963780_0100,1
10963782,111990-02_10963782_0400,1
10963785,111990-02_10963785_0400,1
10963786,111990-02_10963786_0400,1
10964201,135120-16_10964201_0200,1
10964657,151310-02_10964657_0100,1
10964658,151310-02_10964658_0100,1
10964659,151310-02_10964659_0100,1
10964670,151310-02_10964670_0100,1
10964671,151310-02_10964671_0100,1
10964892,100630-20_10964892_0110,1
10964918,135120-14_10964918_0200,1
10964982,134130-05_10964982_1300,1
10965001,100600-01_10965001_0110,1
10965002,100600-01_10965002_0110,1
10965003,100600-01_10965003_0110,1
10965013,111640-03_10965013_0300,1
10965128,100600-01_10965128_0210,1
10965396,134130-28_10965396_1300,1
10965631,100600-01_10965631_0110,1
10965645,135120-16_10965645_0200,1
10965731,135100-21_10965731_0100,1
10965731,135120-07_10965731_0200,1
10965899,111230-06_10965899_0300,1
10965952,151210-44_10010742_0100,1
10965993,135100-21_10965993_0100,1
10966051,135120-01_10966051_0100,1
10966052,111220-03_10966052_0300,1
10966140,123530-05_10966140_0100,1
10966140,123530-05_10966140_0101,1
10966282,123540-03_10966282_0100,1
10966290,135120-15_10966290_0200,1
10966557,134130-05_10966557_1300,1
10966758,123410-15_10966758_0100,1
10966868,100630-30_10966868_0110,1
10967111,100470-08_10967111_0110,1
10967116,135120-07_10967116_0100,1
10967534,135100-21_10967534_0100,1
10967534,135120-07_10967534_0200,1
10967582,100710-20_10967582_0110,1
10967617,111990-01_10967617_0100,1
10967650,135120-01_10967650_0100,1
10967654,135090-14_10967654_0100,1
10967725,100630-30_10967725_0110,1
10967726,100630-30_10967726_0110,1
10967727,100630-20_10967727_0310,1
10967811,123580-01_10967811_0100,1
10967816,100680-10_10967816_0110,1
10967846,111990-01_10967846_0100,1
10968039,135120-07_10968039_0100,1
10968114,123680-01_10968114_0100,1
10968116,124270-02_10968116_0100,1
10968302,100710-10_10968302_0110,1
10968478,123580-02_10968478_0100,1
10968478,123580-02_10968478_0200,1
10968623,134130-05_10968623_1700,1
10968805,135120-07_10968805_0100,1
10968882,135120-14_10968882_0200,1
10968931,100630-10_10968931_0110,1
10968933,100630-10_10968933_0110,1
10969117,123680-01_10969117_0100,1
10969147,123520-07_10969147_0200,1
10969278,100450-26_10969278_1261,1
10969391,100600-01_10969391_0110,1
10969469,100710-10_10969469_0110,1
10969500,100710-30_10969500_0110,1
10969568,134130-05_10969568_1300,1
10969576,100710-10_10969576_0110,1
10969643,135150-10_10969643_0100,1
10969805,111220-03_10969805_0300,1
10969806,135150-17_10969806_0200,1
10969855,123590-01_10969855_0100,1
10969897,100710-10_10969897_0110,1
10970162,100710-10_10970162_0110,1
10970539,111230-06_10970539_0200,1
10970764,111680-01_10014994_0200,1
10970764,111680-01_10014994_0300,1
10970937,123580-01_10970937_0100,1
10970945,111260-01_10970945_0400,1
10970945,111260-01_10970945_0500,1
10970945,111260-03_10970945_0100,1
10970945,111260-11_10970945_0600,1
10970945,111260-11_10970945_0700,1
10971083,123580-02_10971083_0100,1
10971175,123580-02_10971175_0100,1
10971175,123580-02_10971175_0200,1
10971220,111230-06_10971220_1111,1
10971401,111230-06_10971401_1111,1
10971757,123680-05_10971757_0100,1
10971768,123550-09_10971768_1000,1
10971923,135120-08_10971923_0100,1
10971923,135130-18_10971923_0400,1
10971981,123680-20_10971981_0100,1
10972071,123580-02_10972071_0100,1
10972289,111190-01_10972289_0100,1
10972289,111190-01_10972289_0101,1
10972289,111190-01_10972289_0102,1
10972740,134130-08_10972740_1500,1
10972740,134130-40_10972740_1300,1
10973066,110980-02_10973066_0200,1
10973066,110980-02_10973066_0201,1
10973077,110980-02_10973077_0201,1
10973077,110980-02_10973077_0200,1
10973676,134130-05_10973676_1300,1
10973677,123580-02_10973677_0100,1
10974229,135090-14_10974229_0100,1
10974555,123080-11_10974555_0100,1
10974765,124600-05_10974765_0100,1
10974765,124600-05_10974765_0200,1
10975022,111120-07_10975022_0300,1
10975306,123530-05_10975306_0100,1
10975306,123530-05_10975306_0101,1
10975347,135120-14_10975347_0400,1
10975347,135120-16_10975347_0300,1
10975348,135120-07_10975348_0100,1
10975622,111230-06_10975622_1111,1
10975650,111260-11_10975650_0500,1
10975650,111260-11_10975650_0400,1
10975650,111230-06_10975650_0200,1
10975650,111230-06_10975650_0300,1
10975650,111260-01_10975650_0100,1
10975739,123410-25_10975739_0300,1
10975739,123410-25_10975739_0400,1
10975780,123410-15_10975780_0200,1
10975780,123410-15_10975780_0210,1
10975963,111120-07_10975963_0300,1
10976180,100680-10_10976180_0110,1
10976186,123580-02_10976186_0100,1
10976254,100700-10_10976254_0110,1
10976272,100630-30_10976272_0110,1
10976274,100630-30_10976274_0110,1
10976275,100630-30_10976275_0110,1
10976439,123530-03_10976439_0100,1
10976738,110980-01_10976738_0100,1
10976887,123530-01_10976887_0100,1
10977121,123580-02_10977121_0100,1
10977121,123580-02_10977121_0200,1
10977163,151210-44_10010742_0100,1
10977248,134130-28_10977248_1300,1
10977545,111230-06_10977545_1111,1
10977669,100600-01_10977669_0110,1
10977680,135150-06_10977680_0100,1
10977964,124930-52_10977964_5200,1
10977964,124930-52_10977964_520B,1
10978157,151390-01_10978157_0800,1
10978358,100600-01_10977669_0110,1
10978358,100600-01_11027351_0110,1
10978358,100600-01_11035968_0110,1
10980380,100600-01_10977669_0110,1
10980380,100600-01_11027351_0110,1
10980380,100600-01_11035968_0110,1
10980381,100600-01_10977669_0110,1
10980381,100600-01_11027351_0110,1
10980381,100600-01_11035968_0110,1
10980382,100600-01_10977669_0110,1
10980382,100600-01_11027351_0110,1
10980382,100600-01_11035968_0110,1
10980711,111260-10_10980711_0600,1
10980711,111260-10_10980711_0300,1
10980711,111260-01_10980711_0100,1
10980711,111260-03_10980711_0700,1
10980930,123530-01_10980930_0100,1
10981157,123510-02_10981157_1000,1
10981182,123540-08_10981182_0300,1
10981223,124930-05_10981223_0500,1
10981314,123540-12_10981314_0100,1
10981325,135100-21_10981325_0100,1
10981341,111230-06_10981341_1111,1
10981613,100600-01_11035968_0110,1
10981613,100600-01_10977669_0110,1
10981613,100600-01_11027351_0110,1
10981695,123580-01_10981695_0100,1
10982241,162030-03_10982241_0100,1
10982954,123530-01_10982954_0100,1
10983324,124270-01_10983324_0100,1
10983407,111350-14_10983407_6410,1
10983407,111350-18_10983407_6814,1
10983412,123530-05_10983412_0100,1
10983480,123580-02_10983480_0100,1
10984174,111230-06_10984174_1111,1
10984349,151210-02_10072799_0600,1
10984349,151210-02_10072180_0500,1
10984349,151210-01_10609863_0100,1
10984349,151210-02_10593283_0200,1
10984349,151210-01_10072180_0200,1
10984349,151210-01_10071360_0100,1
10984349,151210-01_10072799_0500,1
10984407,124270-01_10984407_0100,1
10985099,123580-01_10985099_0100,1
10985140,111350-16_10985140_6610,1
10985159,123520-07_10985159_0100,1
10985159,123520-07_10985159_0101,1
10985654,111990-01_10985654_0100,1
10985654,111990-01_10985654_0200,1
10985746,111990-01_10985746_0100,1
10985746,111990-01_10985746_0300,1
10985746,111990-02_10985746_0400,1
10985748,111990-01_10985748_0100,1
10985748,111990-01_10985748_0300,1
10985748,111990-02_10985748_0400,1
10985823,110980-02_10985823_0100,1
10985823,110980-02_10985823_0101,1
10985895,123680-09_10985895_0200,1
10986196,111190-01_10986196_0100,1
10986532,111990-01_10986532_0300,1
10986533,111990-01_10986533_0100,1
10986686,100650-01_10986686_0110,1
10986689,100650-01_10986689_0110,1
10986710,100650-01_10986710_0110,1
10986711,100650-01_10986711_0110,1
10987203,100710-30_10987203_0110,1
10987603,111600-01_10987603_8900,1
10987735,123410-15_10987735_0100,1
10987736,123410-15_10987736_0100,1
10987738,111600-01_10001908_0600,1
10988162,135120-08_10988162_0100,1
10988306,123580-01_10988306_0100,1
10988448,123410-15_10988448_0100,1
10988449,123410-25_10988449_0200,1
10988604,123580-01_10988604_0100,1
10989056,123580-01_10989056_0100,1
10989132,135120-01_10989132_0100,1
10989209,111480-01_10989209_0100,1
10989623,100630-30_10989623_0100,1
10990011,100630-30_10990011_0100,1
10990046,111990-01_10990046_0100,1
10990046,111990-01_10990046_0300,1
10990046,111990-02_10990046_0400,1
10990047,111990-02_10990047_0400,1
10990048,111990-01_10990048_0300,1
10990048,111990-02_10990048_0400,1
10990048,111990-01_10990048_0100,1
10990094,135100-21_10990094_0100,1
10990182,135120-07_10990182_0100,1
10990200,111990-02_10990200_0400,1
10990203,123580-02_10990203_0100,1
10990203,123580-02_10990203_0200,1
10990206,111990-01_10990206_0830,1
10990206,111990-01_10990206_0100,1
10990207,111990-01_10990207_0830,1
10990207,111990-01_10990207_0100,1
10990208,111990-02_10990208_0400,1
10990208,111990-01_10990208_0100,1
10990208,111990-01_10990208_0200,1
10990208,111990-01_10990208_0300,1
10990209,111990-02_10990209_0400,1
10990209,111990-01_10990209_0300,1
10990209,111990-01_10990209_0100,1
10990210,111990-01_10990210_0100,1
10990210,111990-01_10990210_0200,1
10990210,111990-01_10990210_0300,1
10990210,111990-02_10990210_0400,1
10990211,111990-02_10990211_0400,1
10990212,111990-01_10990212_0100,1
10990212,111990-01_10990212_0300,1
10990212,111990-02_10990212_0400,1
10990217,111990-02_10990217_0400,1
10990218,111990-02_10990218_0400,1
10990221,111990-02_10990221_0400,1
10990222,111990-01_10990222_0200,1
10990222,111990-01_10990222_0100,1
10990223,111990-01_10990223_0100,1
10990223,111990-01_10990223_0200,1
10990224,111990-01_10990224_0100,1
10990224,111990-01_10990224_0200,1
10990224,111990-01_10990224_0300,1
10990224,111990-02_10990224_0400,1
10990225,111990-01_10990225_0100,1
10990225,111990-01_10990225_0200,1
10990225,111990-01_10990225_0300,1
10990225,111990-02_10990225_0400,1
10990227,111990-02_10990227_0400,1
10990227,111990-01_10990227_0100,1
10990227,111990-01_10990227_0300,1
10990272,111990-02_10990272_0400,1
10990272,111990-01_10990272_0300,1
10990272,111990-01_10990272_0100,1
10990276,111990-01_10990276_0100,1
10990276,111990-01_10990276_0200,1
10990276,111990-01_10990276_0300,1
10990276,111990-02_10990276_0400,1
10990277,111990-01_10990277_0100,1
10990277,111990-01_10990277_0300,1
10990277,111990-02_10990277_0400,1
10990281,111990-01_10990281_0100,1
10990281,111990-01_10990281_0300,1
10990281,111990-02_10990281_0400,1
10990282,111990-01_10990282_0300,1
10990282,111990-02_10990282_0400,1
10990282,111990-01_10990282_0100,1
10990288,111990-01_10990288_0100,1
10990288,111990-01_10990288_0200,1
10990288,111990-01_10990288_0300,1
10990288,111990-02_10990288_0400,1
10990289,111990-01_10990289_0100,1
10990289,111990-01_10990289_0300,1
10990289,111990-02_10990289_0400,1
10990302,123420-18_10990302_0100,1
10990438,111190-01_10990438_0100,1
10990438,111190-01_10990438_0101,1
10990438,111190-01_10990438_0102,1
10990438,111190-03_10990438_0300,1
10990525,111230-06_10990525_1111,1
10990525,111230-06_10990525_0100,1
10990533,100630-30_10990533_0110,1
10990540,123470-20_10990540_0100,1
10990724,123470-20_10990540_0100,1
10991113,135150-10_10991113_0100,1
10991113,135150-12_10991113_0200,1
10991494,100610-50_10991494_0110,1
10991494,100610-50_10991494_0120,1
10991724,123590-01_10991724_0100,1
10991897,123080-12_10991897_0200,1
10991897,123080-13_10991897_0100,1
10991906,111230-06_10991906_1111,1
10991906,111230-06_10991906_0300,1
10991907,111230-06_10991907_1111,1
10992117,111350-18_10992117_6814,1
10992117,111350-14_10992117_6408,1
10992124,123580-01_10992124_0100,1
10992173,111230-06_10992173_0100,1
10992173,111230-06_10992173_0200,1
10992264,111990-01_11022863_0300,1
10992264,111990-01_11022864_0100,1
10992264,111990-01_11022864_0200,1
10992264,111990-01_11022864_0300,1
10992264,111990-01_11022866_0100,1
10992264,111990-01_11022866_0300,1
10992264,111990-01_11022869_0100,1
10992264,111990-01_11022869_0300,1
10992264,111990-02_10202574_0400,1
10992264,111990-01_10990207_0100,1
10992264,111990-01_11006776_0300,1
10992264,111990-01_11006778_0300,1
10992264,111990-01_11006779_0300,1
10992264,111990-02_10202507_0400,1
10992264,111990-02_10202508_0400,1
10992264,111990-01_11022863_0200,1
10992264,111990-01_10990206_0100,1
10992264,111990-01_11022863_0100,1
10992264,111990-01_11006777_0200,1
10992264,111990-01_11022598_0300,1
10992264,111990-01_10990282_0100,1
10992264,111990-01_10990282_0300,1
10992264,111990-01_10990288_0100,1
10992264,111990-01_10990288_0200,1
10992264,111990-01_10990288_0300,1
10992264,111990-01_10990289_0100,1
10992264,111990-01_11006774_0200,1
10992264,111990-01_11022862_0100,1
10992264,111990-01_11006775_0200,1
10992264,111990-01_11006776_0200,1
10992264,111990-02_10202576_0400,1
10992264,111990-01_11006778_0100,1
10992264,111990-01_11006779_0100,1
10992264,111990-01_11022597_0100,1
10992264,111990-01_11022597_0200,1
10992264,111990-01_11022598_0100,1
10992264,111990-01_11006776_0100,1
10992264,111990-02_10202851_0400,1
10992264,111990-02_10985746_0400,1
10992264,111990-02_10203258_0400,1
10992264,111990-02_10990282_0400,1
10992264,111990-02_10990288_0400,1
10992264,111990-02_10990289_0400,1
10992264,111990-02_11022598_0400,1
10992264,111990-02_11022863_0400,1
10992264,111990-02_11022864_0400,1
10992264,111990-02_11022866_0400,1
10992264,111990-02_10990281_0400,1
10992264,111990-02_11022869_0400,1
10992264,111990-02_10990218_0400,1
10992264,111990-02_10990221_0400,1
10992264,111990-02_10990047_0400,1
10992264,111990-02_11022880_0400,1
10992264,111990-02_11022881_0400,1
10992264,111990-02_10990200_0400,1
10992264,111990-02_10990211_0400,1
10992264,111990-02_10990217_0400,1
10992264,111990-02_10202852_0400,1
10992264,111990-02_10990277_0400,1
10992264,111990-02_10990272_0400,1
10992264,111990-02_10203259_0400,1
10992264,111990-02_10203260_0400,1
10992264,111990-02_10874910_0400,1
10992264,111990-02_10963782_0400,1
10992264,111990-02_10963786_0400,1
10992264,111990-01_10990281_0300,1
10992264,111990-02_10985748_0400,1
10992264,111990-02_10990276_0400,1
10992264,111990-02_10990046_0400,1
