K,P,h
10001095,110980-01_10006003_0700,1
10001095,110980-01_10074572_0703,1
10001095,110980-01_10074572_0705,1
10001095,110980-02_10577205_0300,1
10001095,110980-03_10070932_0800,1
10001095,111190-01_10577205_0100,1
10001095,111190-01_10201765_0109,1
10001095,111190-01_10201765_0103,1
10001095,111190-01_10201765_0101,1
10001095,111190-01_10095837_0104,1
10001095,111190-01_10095837_0103,1
10001095,111190-01_10095837_0101,1
10001095,111190-01_10088931_0102,1
10001095,111190-01_10088931_0101,1
10001095,111190-01_10088931_0100,1
10001095,111190-01_10088926_0102,1
10001095,111190-01_10577205_0102,1
10001095,111190-01_10088926_0101,1
10001095,111190-01_10079216_0108,1
10001095,111190-01_10079216_0107,1
10001095,111190-01_10018369_0108,1
10001095,111190-01_10018369_0106,1
10001095,111190-01_10018369_0101,1
10001095,111180-09_10586867_0100,1
10001095,111180-09_10561313_0103,1
10001095,111180-09_10561313_0102,1
10001095,111180-09_10552964_0100,1
10001095,111180-09_10503264_0202,1
10001095,111180-09_10503264_0201,1
10001095,111190-01_10088926_0100,1
10001181,140500-02_10047229_0100,1
10001181,111810-01_10000446_0100,1
10001245,124270-02_10591559_0100,1
10001245,124930-05_10202061_0500,1
10001245,124930-05_10202061_0501,1
10001245,124930-05_10208259_0500,1
10001245,124930-05_10543927_0500,1
10001245,124930-13_10007968_1300,1
10001245,124930-13_10010680_1300,1
10001245,124930-13_10010680_1310,1
10001245,124930-13_10016057_1300,1
10001245,124930-13_10016057_1310,1
10001245,124930-13_10071048_1300,1
10001245,124930-13_10071048_1310,1
10001245,124930-13_10089392_1300,1
10001245,124930-13_10206386_1300,1
10001245,124930-13_10206386_1310,1
10001245,124930-17_10016057_1700,1
10001245,124930-17_10016057_1710,1
10001245,124930-17_10016057_7000,1
10001245,124930-17_10016057_7010,1
10001245,124930-17_10089392_1700,1
10001245,124930-17_10206386_1700,1
10001245,124930-17_10206386_1710,1
10001245,124930-17_10559846_1700,1
10001245,124930-17_10559846_1710,1
10001245,124930-05_10012293_0502,1
10001245,124930-17_11040116_1700,1
10001245,124270-01_11040331_0100,1
10001245,124930-05_10003635_0502,1
10001245,124270-02_10592492_0100,1
10001245,124270-02_10703764_0100,1
10001245,124270-02_10706902_0100,1
10001245,124270-02_10710137_0100,1
10001245,124270-02_10714440_0100,1
